hs17,group,subgroup,description,ship type,hs92
20421,2,4,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",refrigerated cargo,20421
20422,2,4,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",refrigerated cargo,20422
20423,2,4,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled",refrigerated cargo,20423
20430,2,4,"Meat: of sheep, lamb carcasses and half-carcasses, frozen",refrigerated cargo,20430
20441,2,4,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",refrigerated cargo,20441
20442,2,4,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",refrigerated cargo,20442
20443,2,4,"Meat: of sheep (including lamb), boneless cuts, frozen",refrigerated cargo,20443
20450,2,4,"Meat: of goats, fresh, chilled or frozen",refrigerated cargo,20450
20500,2,5,"Meat: of horses, asses, mules or hinnies, fresh, chilled or frozen",refrigerated cargo,20500
20610,2,6,"Offal, edible: of bovine animals, fresh or chilled",refrigerated cargo,20610
20621,2,6,"Offal, edible: of bovine animals, tongues, frozen",refrigerated cargo,20621
20622,2,6,"Offal, edible: of bovine animals, livers, frozen",refrigerated cargo,20622
20629,2,6,"Offal, edible: of bovine animals, (other than tongues and livers), frozen",refrigerated cargo,20629
20630,2,6,"Offal, edible: of swine, fresh or chilled",refrigerated cargo,20630
20641,2,6,"Offal, edible: of swine, livers, frozen",refrigerated cargo,20641
20649,2,6,"Offal, edible: of swine, (other than livers), frozen",refrigerated cargo,20649
20680,2,6,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",refrigerated cargo,20680
20690,2,6,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen",refrigerated cargo,20690
20711,2,7,"Meat and edible offal: of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",refrigerated cargo,20710
20712,2,7,"Meat and edible offal: of fowls of the species Gallus domesticus, not cut in pieces, frozen",refrigerated cargo,20721
20713,2,7,"Meat and edible offal: of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",refrigerated cargo,20739
20714,2,7,"Meat and edible offal: of fowls of the species Gallus domesticus, cuts and offal, frozen",refrigerated cargo,20741
20724,2,7,"Meat and edible offal: of turkeys, not cut in pieces, fresh or chilled",refrigerated cargo,20710
20725,2,7,"Meat and edible offal: of turkeys, not cut in pieces, frozen",refrigerated cargo,20722
20726,2,7,"Meat and edible offal: of turkeys, cuts and offal, fresh or chilled",refrigerated cargo,20739
20727,2,7,"Meat and edible offal: of turkeys, cuts and offal, frozen",refrigerated cargo,20742
20741,2,7,"Meat and edible offal: of ducks, not cut in pieces, fresh or chilled",refrigerated cargo,20710
20742,2,7,"Meat and edible offal: of ducks, not cut in pieces, frozen",refrigerated cargo,20723
20743,2,7,"Meat and edible offal: of ducks, fatty livers (foie gras), fresh or chilled",refrigerated cargo,20731
20744,2,7,"Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, fresh or chilled",refrigerated cargo,20739
20745,2,7,"Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, frozen",refrigerated cargo,20743
20751,2,7,"Meat and edible offal: of geese, not cut in pieces, fresh or chilled",refrigerated cargo,20710
20752,2,7,"Meat and edible offal: of geese, not cut in pieces, frozen",refrigerated cargo,20723
20753,2,7,"Meat and edible offal: of geese, fatty livers (foie gras), fresh or chilled",refrigerated cargo,20731
20754,2,7,"Meat and edible offal: of geese, cuts and offal, excluding fatty livers, fresh or chilled",refrigerated cargo,20739
20755,2,7,"Meat and edible offal: of geese, cuts and offal, excluding fatty livers, frozen",refrigerated cargo,20743
20760,2,7,"Meat and edible offal: of guinea fowls, fresh, chilled or frozen",refrigerated cargo,20739
20810,2,8,"Meat and edible meat offal: of rabbits or hares, fresh, chilled or frozen",refrigerated cargo,20810
20830,2,8,"Meat and edible meat offal: of primates, fresh, chilled or frozen",refrigerated cargo,20890
20840,2,8,"Meat and edible meat offal: of whales, dolphins and porpoises (mammals of the order Cetacea): of manatees and dugongs (mammals of the order Sirenia): of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen",refrigerated cargo,20890
20850,2,8,"Meat and edible meat offal: of reptiles (including snakes and turtles), fresh, chilled or frozen",refrigerated cargo,20890
20860,2,8,"Meat and edible meat offal: of camels and other camelids (Camelidae), fresh, chilled or frozen",refrigerated cargo,20890
20890,2,8,"Meat and edible meat offal: n.e.c. in chapter 2, fresh, chilled or frozen",refrigerated cargo,20890
20910,2,9,"Fat: pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",refrigerated cargo,20900
20990,2,9,"Fat: poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",refrigerated cargo,20900
21011,2,10,"Meat: salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",refrigerated cargo,21011
21012,2,10,"Meat: salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",refrigerated cargo,21012
21019,2,10,"Meat: salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",refrigerated cargo,21019
21020,2,10,"Meat: salted, in brine, dried or smoked, of bovine animals",refrigerated cargo,21020
21091,2,10,"Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates",refrigerated cargo,21090
21092,2,10,"Meat and edible meat offal: salted, in brine, dried or smoked: edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea): manatees, dugongs (of order Sirenia): seals, sea lions, and walruses (of suborder Pinnipedia)",refrigerated cargo,21090
21093,2,10,"Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",refrigerated cargo,21090
21099,2,10,"Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",refrigerated cargo,21090
30111,3,1,"Fish: live, ornamental, freshwater",container,30110
30119,3,1,"Fish: live, ornamental, other than freshwater",container,30110
30191,3,1,"Fish: live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",container,30191
30192,3,1,"Fish: live, eels (Anguilla spp.)",container,30192
30193,3,1,"Fish: live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",container,30193
30194,3,1,"Fish: live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",container,30199
30195,3,1,"Fish: live, southern bluefin tunas (Thunnus maccoyii)",container,30199
30199,3,1,"Fish: live, n.e.c. in heading 0301",container,30199
30211,3,2,"Fish: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",refrigerated cargo,30211
30213,3,2,"Fish: fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",refrigerated cargo,30212
30214,3,2,"Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30212
30219,3,2,"Fish: fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30219
30221,3,2,"Fish: fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30221
30222,3,2,"Fish: fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30222
30223,3,2,"Fish: fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30223
30224,3,2,"Fish: fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30229
30229,3,2,"Fish: fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30229
30231,3,2,"Fish: fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30231
30232,3,2,"Fish: fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30232
30233,3,2,"Fish: fresh or chilled, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30233
30234,3,2,"Fish: fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30239
30235,3,2,"Fish: fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30239
30236,3,2,"Fish: fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30239
30239,3,2,"Fish: fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30239
30241,3,2,"Fish: fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30240
30242,3,2,"Fish: fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30243,3,2,"Fish: fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30261
30244,3,2,"Fish: fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30264
30245,3,2,"Fish: fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30246,3,2,"Fish: fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30247,3,2,"Fish: fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30249,3,2,"Fish: fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30251,3,2,"Fish: fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30250
30252,3,2,"Fish: fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30262
30253,3,2,"Fish: fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30263
30254,3,2,"Fish: fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30255,3,2,"Fish: fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30256,3,2,"Fish: fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30259,3,2,"Fish: fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30271,3,2,"Fish: fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30272,3,2,"Fish: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30273,3,2,"Fish: fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30274,3,2,"Fish: fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30266
30279,3,2,"Fish: fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30281,3,2,"Fish: fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30265
30282,3,2,"Fish: fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30283,3,2,"Fish: fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30284,3,2,"Fish: fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30285,3,2,"Fish: fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30289,3,2,"Fish: fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",refrigerated cargo,30269
30291,3,2,"Fish: fresh or chilled, livers, roes and milt",refrigerated cargo,30270
30292,3,2,"Fish: fresh or chilled, shark fins",refrigerated cargo,30265
30299,3,2,"Fish: fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",refrigerated cargo,30269
30311,3,3,"Fish: frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30310
30312,3,3,"Fish: frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30310
30313,3,3,"Fish: frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30322
30314,3,3,"Fish: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",refrigerated cargo,30321
30319,3,3,"Fish: frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30329
30323,3,3,"Fish: frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30324,3,3,"Fish: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30325,3,3,"Fish: frozen, carp  (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30326,3,3,"Fish: frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30376
30329,3,3,"Fish: frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30331,3,3,"Fish: frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30331
30332,3,3,"Fish: frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30332
30333,3,3,"Fish: frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30333
30334,3,3,"Fish: frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30339
30339,3,3,"Fish: frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30339
30341,3,3,"Fish: frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30341
30342,3,3,"Fish: frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30342
30343,3,3,"Fish: frozen, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30343
30344,3,3,"Fish: frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30349
30345,3,3,"Fish: frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30349
30346,3,3,"Fish: frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30349
30349,3,3,"Fish: frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30349
30351,3,3,"Fish: frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30350
30353,3,3,"Fish: frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30371
30354,3,3,"Fish: frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30374
30355,3,3,"Fish: frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30356,3,3,"Fish: frozen, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30357,3,3,"Fish: frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30359,3,3,"Fish: frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30363,3,3,"Fish: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30360
30364,3,3,"Fish: frozen, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30372
30365,3,3,"Fish: frozen, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30373
30366,3,3,"Fish: frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30378
30367,3,3,"Fish: frozen, Alaska pollack (Theraga chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30368,3,3,"Fish: frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30369,3,3,"Fish: frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9",refrigerated cargo,30379
30381,3,3,"Fish: frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30375
30382,3,3,"Fish: frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30383,3,3,"Fish: frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30384,3,3,"Fish: frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30377
30389,3,3,"Fish: frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",refrigerated cargo,30379
30391,3,3,"Fish: frozen, livers, roes and milt",refrigerated cargo,30380
30392,3,3,"Fish: frozen, shark fins",refrigerated cargo,30375
30399,3,3,"Fish: frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",refrigerated cargo,30379
30431,3,4,"Fish fillets: fresh or chilled, tilapias (Oreochromis spp.)",refrigerated cargo,30410
30432,3,4,"Fish fillets: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",refrigerated cargo,30410
30433,3,4,"Fish fillets: fresh or chilled, Nile perch (Lates niloticus)",refrigerated cargo,30410
30439,3,4,"Fish fillets: fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)",refrigerated cargo,30410
