k;description;category
20421;Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled;refrigerated cargo
20422;Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled;refrigerated cargo
20423;Meat: of sheep (including lamb), boneless cuts, fresh or chilled;refrigerated cargo
20430;Meat: of sheep, lamb carcasses and half-carcasses, frozen;refrigerated cargo
20441;Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen;refrigerated cargo
20442;Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen;refrigerated cargo
20443;Meat: of sheep (including lamb), boneless cuts, frozen;refrigerated cargo
20450;Meat: of goats, fresh, chilled or frozen;refrigerated cargo
20500;Meat: of horses, asses, mules or hinnies, fresh, chilled or frozen;refrigerated cargo
20610;Offal, edible: of bovine animals, fresh or chilled;refrigerated cargo
20621;Offal, edible: of bovine animals, tongues, frozen;refrigerated cargo
20622;Offal, edible: of bovine animals, livers, frozen;refrigerated cargo
20629;Offal, edible: of bovine animals, (other than tongues and livers), frozen;refrigerated cargo
20630;Offal, edible: of swine, fresh or chilled;refrigerated cargo
20641;Offal, edible: of swine, livers, frozen;refrigerated cargo
20649;Offal, edible: of swine, (other than livers), frozen;refrigerated cargo
20680;Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled;refrigerated cargo
20690;Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen;refrigerated cargo
20711;Meat and edible offal: of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled;refrigerated cargo
20712;Meat and edible offal: of fowls of the species Gallus domesticus, not cut in pieces, frozen;refrigerated cargo
20713;Meat and edible offal: of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled;refrigerated cargo
20714;Meat and edible offal: of fowls of the species Gallus domesticus, cuts and offal, frozen;refrigerated cargo
20724;Meat and edible offal: of turkeys, not cut in pieces, fresh or chilled;refrigerated cargo
20725;Meat and edible offal: of turkeys, not cut in pieces, frozen;refrigerated cargo
20726;Meat and edible offal: of turkeys, cuts and offal, fresh or chilled;refrigerated cargo
20727;Meat and edible offal: of turkeys, cuts and offal, frozen;refrigerated cargo
20741;Meat and edible offal: of ducks, not cut in pieces, fresh or chilled;refrigerated cargo
20742;Meat and edible offal: of ducks, not cut in pieces, frozen;refrigerated cargo
20743;Meat and edible offal: of ducks, fatty livers (foie gras), fresh or chilled;refrigerated cargo
20744;Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, fresh or chilled;refrigerated cargo
20745;Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, frozen;refrigerated cargo
20751;Meat and edible offal: of geese, not cut in pieces, fresh or chilled;refrigerated cargo
20752;Meat and edible offal: of geese, not cut in pieces, frozen;refrigerated cargo
20753;Meat and edible offal: of geese, fatty livers (foie gras), fresh or chilled;refrigerated cargo
20754;Meat and edible offal: of geese, cuts and offal, excluding fatty livers, fresh or chilled;refrigerated cargo
20755;Meat and edible offal: of geese, cuts and offal, excluding fatty livers, frozen;refrigerated cargo
20760;Meat and edible offal: of guinea fowls, fresh, chilled or frozen;refrigerated cargo
20810;Meat and edible meat offal: of rabbits or hares, fresh, chilled or frozen;refrigerated cargo
20830;Meat and edible meat offal: of primates, fresh, chilled or frozen;refrigerated cargo
20840;Meat and edible meat offal: of whales, dolphins and porpoises (mammals of the order Cetacea): of manatees and dugongs (mammals of the order Sirenia): of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen;refrigerated cargo
20850;Meat and edible meat offal: of reptiles (including snakes and turtles), fresh, chilled or frozen;refrigerated cargo
20860;Meat and edible meat offal: of camels and other camelids (Camelidae), fresh, chilled or frozen;refrigerated cargo
20890;Meat and edible meat offal: n.e.c. in chapter 2, fresh, chilled or frozen;refrigerated cargo
20910;Fat: pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked;refrigerated cargo
20990;Fat: poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked;refrigerated cargo
21011;Meat: salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in;refrigerated cargo
21012;Meat: salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof;refrigerated cargo
21019;Meat: salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1;refrigerated cargo
21020;Meat: salted, in brine, dried or smoked, of bovine animals;refrigerated cargo
21091;Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates;refrigerated cargo
21092;Meat and edible meat offal: salted, in brine, dried or smoked: edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea): manatees, dugongs (of order Sirenia): seals, sea lions, and walruses (of suborder Pinnipedia);refrigerated cargo
21093;Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles);refrigerated cargo
21099;Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles);refrigerated cargo
30111;Fish: live, ornamental, freshwater;container
30119;Fish: live, ornamental, other than freshwater;container
30191;Fish: live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster);container
30192;Fish: live, eels (Anguilla spp.);container
30193;Fish: live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);container
30194;Fish: live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis);container
30195;Fish: live, southern bluefin tunas (Thunnus maccoyii);container
30199;Fish: live, n.e.c. in heading 0301;container
30211;Fish: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9;refrigerated cargo
30213;Fish: fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9;refrigerated cargo
30214;Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30219;Fish: fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30221;Fish: fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30222;Fish: fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30223;Fish: fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30224;Fish: fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30229;Fish: fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30231;Fish: fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30232;Fish: fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30233;Fish: fresh or chilled, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30234;Fish: fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30235;Fish: fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30236;Fish: fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30239;Fish: fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30241;Fish: fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30242;Fish: fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30243;Fish: fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30244;Fish: fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30245;Fish: fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30246;Fish: fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30247;Fish: fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30249;Fish: fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30251;Fish: fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30252;Fish: fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30253;Fish: fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30254;Fish: fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30255;Fish: fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30256;Fish: fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30259;Fish: fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30271;Fish: fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30272;Fish: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30273;Fish: fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30274;Fish: fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30279;Fish: fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30281;Fish: fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30282;Fish: fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30283;Fish: fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30284;Fish: fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30285;Fish: fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30289;Fish: fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99;refrigerated cargo
30291;Fish: fresh or chilled, livers, roes and milt;refrigerated cargo
30292;Fish: fresh or chilled, shark fins;refrigerated cargo
30299;Fish: fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal;refrigerated cargo
30311;Fish: frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30312;Fish: frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30313;Fish: frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30314;Fish: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99;refrigerated cargo
30319;Fish: frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30323;Fish: frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30324;Fish: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30325;Fish: frozen, carp  (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30326;Fish: frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30329;Fish: frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30331;Fish: frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30332;Fish: frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30333;Fish: frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30334;Fish: frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30339;Fish: frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30341;Fish: frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30342;Fish: frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30343;Fish: frozen, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30344;Fish: frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30345;Fish: frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30346;Fish: frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30349;Fish: frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30351;Fish: frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30353;Fish: frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30354;Fish: frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30355;Fish: frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30356;Fish: frozen, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30357;Fish: frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30359;Fish: frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30363;Fish: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30364;Fish: frozen, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30365;Fish: frozen, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30366;Fish: frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30367;Fish: frozen, Alaska pollack (Theraga chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30368;Fish: frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30369;Fish: frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9;refrigerated cargo
30381;Fish: frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30382;Fish: frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30383;Fish: frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30384;Fish: frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30389;Fish: frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99;refrigerated cargo
30391;Fish: frozen, livers, roes and milt;refrigerated cargo
30392;Fish: frozen, shark fins;refrigerated cargo
30399;Fish: frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal;refrigerated cargo
30431;Fish fillets: fresh or chilled, tilapias (Oreochromis spp.);refrigerated cargo
30432;Fish fillets: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);refrigerated cargo
30433;Fish fillets: fresh or chilled, Nile perch (Lates niloticus);refrigerated cargo
30439;Fish fillets: fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.);refrigerated cargo
30441;Fish fillets: fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho);refrigerated cargo
30442;Fish fillets: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster);refrigerated cargo
30443;Fish fillets: fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae);refrigerated cargo
30444;Fish fillets: fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae;refrigerated cargo
30445;Fish fillets: fresh or chilled, swordfish (Xiphias gladius);refrigerated cargo
30446;Fish fillets: fresh or chilled, toothfish (Dissostichus spp.);refrigerated cargo
30447;Fish fillets: fresh or chilled, dogfish and other sharks;refrigerated cargo
30448;Fish fillets: fresh or chilled, rays and skates (Rajidae);refrigerated cargo
30449;Fish fillets: fresh or chilled, other than fish of heading 0304.4;refrigerated cargo
30451;Fish meat, excluding fillets, whether or not minced: fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads;refrigerated cargo
30452;Fish meat, excluding fillets, whether or not minced: fresh or chilled, salmonidae;refrigerated cargo
30453;Fish meat, excluding fillets, whether or not minced: fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae;refrigerated cargo
30454;Fish meat, excluding fillets, whether or not minced: fresh or chilled, swordfish (Xiphias gladius);refrigerated cargo
30455;Fish meat, excluding fillets, whether or not minced: fresh or chilled, toothfish (Dissostichus spp.);refrigerated cargo
30456;Fish meat: excluding fillets, whether or not minced: fresh or chilled, dogfish and other sharks;refrigerated cargo
30457;Fish meat: excluding fillets, whether or not minced: fresh or chilled, rays and skates (Rajidae);refrigerated cargo
30459;Fish meat: excluding fillets, whether or not minced: fresh or chilled, of fish n.e.c. in item no. 0304.5;refrigerated cargo
30461;Fish fillets: frozen, tilapias (Oreochromis spp.);refrigerated cargo
30462;Fish fillets: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);refrigerated cargo
30463;Fish fillets: frozen, Nile Perch (Lates niloticus);refrigerated cargo
30469;Fish fillets: frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa);refrigerated cargo
30471;Fish fillets: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus);refrigerated cargo
30472;Fish fillets: frozen, haddock (Melanogrammus aeglefinus);refrigerated cargo
30473;Fish fillets: frozen, coalfish (Pollachius virens);refrigerated cargo
30474;Fish fillets: frozen, hake (Merluccius spp., Urophycis spp.);refrigerated cargo
30475;Fish fillets: frozen, Alaska pollack (Theragra chalcogramma);refrigerated cargo
30479;Fish fillets: frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollack;refrigerated cargo
